sensor_id,sensor_name,equipment_name,reading_value,reading_timestamp,status,process_area,_loaded_at
SNS-TM-0001,Temp Sensor A1,Compressor-01,72.3,2024-01-15 08:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-15 08:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,73.1,2024-01-15 09:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-15 09:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,74.8,2024-01-15 10:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-15 10:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,71.2,2024-01-15 11:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-15 11:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,76.5,2024-01-15 12:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-15 12:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,155.0,2024-01-16 08:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-16 08:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,72.0,2024-01-16 09:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-16 09:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,73.5,2024-01-16 10:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-16 10:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,71.8,2024-01-16 11:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-16 11:05:00
SNS-TM-0001,Temp Sensor A1,Compressor-01,74.2,2024-01-16 12:00:00,ACTIVE,COMPRESSOR_BAY,2024-01-16 12:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,245.6,2024-01-15 08:00:00,ACTIVE,PUMP_STATION,2024-01-15 08:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,248.3,2024-01-15 09:00:00,ACTIVE,PUMP_STATION,2024-01-15 09:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,251.1,2024-01-15 10:00:00,ACTIVE,PUMP_STATION,2024-01-15 10:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,246.9,2024-01-15 11:00:00,ACTIVE,PUMP_STATION,2024-01-15 11:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,250.0,2024-01-15 12:00:00,ACTIVE,PUMP_STATION,2024-01-15 12:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,520.0,2024-01-16 08:00:00,ACTIVE,PUMP_STATION,2024-01-16 08:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,247.5,2024-01-16 09:00:00,ACTIVE,PUMP_STATION,2024-01-16 09:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,249.8,2024-01-16 10:00:00,ACTIVE,PUMP_STATION,2024-01-16 10:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,246.2,2024-01-16 11:00:00,ACTIVE,PUMP_STATION,2024-01-16 11:05:00
SNS-PR-0002,Pressure Sensor B1,Pump-03,248.1,2024-01-16 12:00:00,ACTIVE,PUMP_STATION,2024-01-16 12:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.2,2024-01-15 08:00:00,ACTIVE,MOTOR_HALL,2024-01-15 08:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.5,2024-01-15 09:00:00,ACTIVE,MOTOR_HALL,2024-01-15 09:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.8,2024-01-15 10:00:00,ACTIVE,MOTOR_HALL,2024-01-15 10:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.1,2024-01-15 11:00:00,ACTIVE,MOTOR_HALL,2024-01-15 11:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,30.5,2024-01-15 12:00:00,ACTIVE,MOTOR_HALL,2024-01-15 12:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.3,2024-01-16 08:00:00,ACTIVE,MOTOR_HALL,2024-01-16 08:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.6,2024-01-16 09:00:00,ACTIVE,MOTOR_HALL,2024-01-16 09:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.9,2024-01-16 10:00:00,ACTIVE,MOTOR_HALL,2024-01-16 10:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.0,2024-01-16 11:00:00,ACTIVE,MOTOR_HALL,2024-01-16 11:05:00
SNS-VB-0003,Vibration Sensor C1,Motor-07,4.7,2024-01-16 12:00:00,ACTIVE,MOTOR_HALL,2024-01-16 12:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,185.2,2024-01-15 08:00:00,ACTIVE,REACTOR_ZONE,2024-01-15 08:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,186.7,2024-01-15 09:00:00,ACTIVE,REACTOR_ZONE,2024-01-15 09:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,184.9,2024-01-15 10:00:00,ACTIVE,REACTOR_ZONE,2024-01-15 10:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,187.3,2024-01-15 11:00:00,ACTIVE,REACTOR_ZONE,2024-01-15 11:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,185.8,2024-01-15 12:00:00,ACTIVE,REACTOR_ZONE,2024-01-15 12:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,186.1,2024-01-16 08:00:00,ACTIVE,REACTOR_ZONE,2024-01-16 08:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,185.5,2024-01-16 09:00:00,ACTIVE,REACTOR_ZONE,2024-01-16 09:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,187.0,2024-01-16 10:00:00,ACTIVE,REACTOR_ZONE,2024-01-16 10:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,184.6,2024-01-16 11:00:00,ACTIVE,REACTOR_ZONE,2024-01-16 11:05:00
SNS-TM-0004,Temp Sensor D1,Reactor-02,186.4,2024-01-16 12:00:00,ACTIVE,REACTOR_ZONE,2024-01-16 12:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,120.5,2024-01-15 08:00:00,ACTIVE,PIPELINE_AREA,2024-01-15 08:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,118.3,2024-01-15 09:00:00,ACTIVE,PIPELINE_AREA,2024-01-15 09:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,122.1,2024-01-15 10:00:00,ACTIVE,PIPELINE_AREA,2024-01-15 10:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,119.7,2024-01-15 11:00:00,ACTIVE,PIPELINE_AREA,2024-01-15 11:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,,2024-01-15 12:00:00,ERROR,PIPELINE_AREA,2024-01-15 12:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,121.0,2024-01-16 08:00:00,ACTIVE,PIPELINE_AREA,2024-01-16 08:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,119.5,2024-01-16 09:00:00,ACTIVE,PIPELINE_AREA,2024-01-16 09:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,-1500.0,2024-01-16 10:00:00,ACTIVE,PIPELINE_AREA,2024-01-16 10:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,120.8,2024-01-16 11:00:00,ACTIVE,PIPELINE_AREA,2024-01-16 11:05:00
SNS-FL-0005,Flow Sensor E1,Pipeline-12,118.9,2024-01-16 12:00:00,ACTIVE,PIPELINE_AREA,2024-01-16 12:05:00
